id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
prehistory	Prehistory	[]	-7000000	0	0	-4500	0	0	7 million years ago	4500 BCE	gregorian	0	historical_period	manual	Humans evolved in Africa from great apes through the lineage of hominins, which arose 7–5&nbsp;million years ago.	["manual-extraction","no-coords-found"]
prehistory-human-origins	Prehistory – Human origins	[]	-7000000	0	0	-400000	0	0	7 million years ago	400,000 years ago	gregorian	0	historical_period	manual	Humans evolved in Africa from great apes through the lineage of hominins, which arose 7–5&nbsp;million years ago.	["manual-extraction","no-coords-found"]
prehistory-early-humans	Prehistory – Early humans	[]	-300000	0	0	-12000	0	0	300,000 years ago	12,000 years ago	gregorian	0	historical_period	manual	yellow), Homo neanderthalensis (ochre) during Out of Africa I and Homo sapiens (red, Out of Africa II), with the numbers of years since they appeared before present.	["manual-extraction","no-coords-found"]
prehistory-neolithic	Prehistory – Neolithic	[]	-10000	0	0	-4500	0	0	10,000 BCE	4500 BCE	gregorian	0	historical_period	manual	Beginning around 10,000&nbsp;BCE, the Neolithic Revolution marked the development of agriculture, which fundamentally changed the human lifestyle.	["manual-extraction","no-coords-found"]
ancient	Ancient	[]	-4000	0	0	1521	0	0	4000 BCE	1521 CE	gregorian	0	historical_period	manual	Egypt|alt=Three large pyramids in the desert, together with subsidiary pyramids and the remains of other structures]]	["manual-extraction","no-coords-found"]
ancient-cradles-of-civilization	Ancient – Cradles of civilization	[]	-4000	0	0	1300	0	0	4000 BCE	1300	gregorian	0	historical_period	manual	Egypt|alt=Three large pyramids in the desert, together with subsidiary pyramids and the remains of other structures]]	["manual-extraction","no-coords-found"]
ancient-axial-age	Ancient – Axial Age	[]	-800	0	0	-200	0	0	800	200 BCE	gregorian	0	historical_period	manual	2nd century&nbsp;CE|alt=A statue of a standing man wearing a cloak]]	["manual-extraction","no-coords-found"]
ancient-regional-empires	Ancient – Regional empires	[]	-500	0	0	500	0	0	500 BCE	500 CE	gregorian	0	historical_period	manual	The millennium from 500&nbsp;BCE to 500&nbsp;CE saw a series of empires of unprecedented size develop.	["manual-extraction","no-coords-found"]
ancient-declines-falls-and-resurgence	Ancient – Declines, falls, and resurgence	[]	220	0	0	476	0	0	220 CE	476 CE	gregorian	0	historical_period	manual	The ancient empires faced common problems associated with maintaining huge armies and supporting a central bureaucracy.	["manual-extraction","no-coords-found"]
post-classical	Post-classical	[]	50	0	0	1888	0	0	1st century CE	1888	gregorian	0	historical_period	manual	in the ', 1493.	["manual-extraction","no-coords-found"]
post-classical-west-and-central-asia	Post-classical – West and Central Asia	[]	650	0	0	1370	0	0	7th century	1370	gregorian	0	historical_period	manual	Before the advent of Islam in the 7th century, the Middle East was dominated by the Byzantine and Sasanian Empires, which frequently fought each other for control of several disputed regions.	["manual-extraction","no-coords-found"]
post-classical-europe	Post-classical – Europe	[]	350	0	0	1350	0	0	4th century	14th century 	gregorian	0	historical_period	manual	Since at least the 4th century, Christianity has played a prominent role in shaping the culture, values, and institutions of Western civilization, primarily through Catholicism and later also Protesta	["manual-extraction","no-coords-found"]
post-classical-sub-saharan-africa	Post-classical – Sub-Saharan Africa	[]	550	0	0	1450	0	0	6th century	15th century	gregorian	0	historical_period	manual	constructed during the Zagwe dynasty in Ethiopia]]	["manual-extraction","no-coords-found"]
post-classical-south-asia	Post-classical – South Asia	[]	550	0	0	850	0	0	550 CE	9th century 	gregorian	0	historical_period	manual	After the fall of the Gupta Empire in 550&nbsp;CE, North India was divided into a complex and fluid network of smaller kingdoms.	["manual-extraction","no-coords-found"]
post-classical-northeast-asia	Post-classical – Northeast Asia	[]	250	0	0	1868	0	0	3rd century CE	1868	gregorian	0	historical_period	manual	After a period of relative disunity, China was reunified by the Sui dynasty in 589, later succeeded by the Tang dynasty in 618.	["manual-extraction","no-coords-found"]
post-classical-southeast-asia	Post-classical – Southeast Asia	[]	50	0	0	1888	0	0	1st century CE	1888	gregorian	0	historical_period	manual	temple complex, Cambodia, early 12th century|alt=Large temple]]	["manual-extraction","no-coords-found"]
post-classical-oceania	Post-classical – Oceania	[]	950	0	0	1500	0	0	10th century CE	1500	gregorian	0	historical_period	manual	The Polynesians, descendants of the Lapita peoples, colonized vast reaches of Remote Oceania beginning around 1000&nbsp;CE.	["manual-extraction","no-coords-found"]
post-classical-americas	Post-classical – Americas	[]	1450	0	0	1850	0	0	15th century 	19th century	gregorian	0	historical_period	manual	observatory, Chichen Itza, Mexico|alt=Ruins of a domed building with steps leading to it]]	["manual-extraction","no-coords-found"]
early-modern	Early modern	[]	1350	0	0	1948	0	0	14th century 	1948	gregorian	0	historical_period	manual	The early modern period is the era following the European Middle Ages until 1789 or 1800.	["manual-extraction","no-coords-found"]
early-modern-west-and-central-asia	Early modern – West and Central Asia	[]	1453	0	0	1794	0	0	1453	1794	gregorian	0	historical_period	manual	The Ottoman Empire quickly came to dominate the Middle East after conquering Constantinople in 1453, which marked the end of the Byzantine Empire.	["manual-extraction","no-coords-found"]
early-modern-europe	Early modern – Europe	[]	1350	0	0	1850	0	0	14th century 	19th century	gregorian	0	historical_period	manual	birthplace of the Italian Renaissance|alt=A city with red roofs and a larger domed building in the center.	["manual-extraction","no-coords-found"]
early-modern-sub-saharan-africa	Early modern – Sub-Saharan Africa	[]	1515	0	0	1850	0	0	1515	19th century	gregorian	0	historical_period	manual	In the Horn of Africa, there was the Oromo expansion in the 16th century, which weakened Ethiopia and caused Adal's collapse.	["manual-extraction","no-coords-found"]
early-modern-south-asia	Early modern – South Asia	[]	1450	0	0	1799	0	0	15th century 	1799	gregorian	0	historical_period	manual	Mughal Empire, India|alt=A white stone building with three domes flanked by a wall and four towers]]	["manual-extraction","no-coords-found"]
early-modern-northeast-asia	Early modern – Northeast Asia	[]	1392	0	0	1912	0	0	1392	1912	gregorian	0	historical_period	manual	section, Great Wall of China|alt=A stone wall going uphill with towers spaced along it]]	["manual-extraction","no-coords-found"]
