infobox_type	proposed_category	count	was_included	include_in_future
person	person	91096	1	1
officeholder	person	82796	1	1
football_biography	person	54682	1	0
settlement	place	53651	1	1
film	artifact	35167	1	0
sportsperson	person	27552	1	0
album	artifact	26355	1	0
election	event	22281	1	0
college_sports_team_season	place	18041	0	0
song	artifact	16676	1	0
musical_artist	person	16376	1	0
television	artifact	13639	1	0
scientist	person	13374	1	1
book	artifact	13245	1	0
company	business	12118	1	0
turkey_place	place	11240	0	0
military_person	person	10128	1	1
station	place	9817	1	0
football_club_season	other	9104	0	0
ship/career	artifact	8995	1	0
name_module	other	8912	1	0
building	place	8883	1	0
academic	person	8201	1	0
ship/characteristics	artifact	7795	1	0
ship	artifact	7730	1	0
ship/image	artifact	7510	1	0
organization	pol_mil_organization	7241	1	0
cricketer	person	6970	1	0
rugby_biography	person	6939	1	0
military_conflict	event	6816	1	1
writer	person	6704	1	1
football_league_season	other	6445	0	0
artist	person	6314	1	1
nfl_biography	person	6007	1	0
sports_competition_event	other	5858	0	0
artwork	artifact	5688	1	0
football_club	other	5546	0	0
basketball_biography	person	5349	1	0
military_unit	pol_mil_organization	5033	1	0
video_game	artifact	4995	1	0
nrhp	place	4844	1	0
country_at_games	pol_mil_organization	4828	0	0
mountain	place	4801	1	0
river	place	4502	1	0
award	other	4006	1	0
baseball_biography	person	3921	1	0
church	place	3809	1	0
royalty	person	3761	1	1
christian_leader	person	3735	1	0
chinese	other	3732	1	0
historic_site	place	3596	1	0
constituency	pol_mil_organization	3569	1	0
animanga/print	other	3550	0	0
tennis_biography	person	3516	1	0
cyclist	person	3477	1	0
political_party	pol_mil_organization	3090	1	0
television_season	artifact	2995	0	0
football_tournament_season	other	2968	0	0
religious_building	place	2897	1	0
government_agency	pol_mil_organization	2854	0	0
civilian_attack	event	2798	1	0
restaurant	business	2766	1	0
college_coach	person	2756	1	0
television_episode	artifact	2706	0	0
event	event	2679	1	1
road	place	2664	0	0
animanga/footer	other	2631	0	0
animanga/header	other	2630	0	0
ncaa_team_season	other	2613	0	0
university	place	2448	1	0
drug	other	2416	0	0
mma_event	other	2385	0	0
sports_season	other	2354	0	0
venue	place	2345	1	0
protected_area	place	2306	1	0
body_of_water	place	2303	1	1
school	place	2244	1	0
museum	place	2151	1	0
korean_name/auto	other	2137	1	0
person/wikidata	person	2038	1	0
australian_place	place	1981	0	0
official_post	other	1970	0	0
ice_hockey_player	person	1958	1	0
park	place	1941	1	0
rugby_league_biography	person	1902	1	0
racing_driver	person	1896	1	0
football_match	other	1878	0	0
ancient_site	place	1872	1	1
gymnast	person	1870	1	0
dam	place	1806	0	0
play	artifact	1769	0	0
martial_artist	person	1731	1	0
hurling_championship	other	1720	0	0
road_small	place	1699	0	0
legislative_district	other	1668	0	0
indian_constituency	pol_mil_organization	1652	0	0
reality_competition_season	other	1645	0	0
automobile	artifact	1642	0	0
animanga/video	other	1640	0	0
international_football_competition	other	1617	0	0
curler	other	1615	1	0
chess_player	person	1606	1	0
religious_biography	person	1593	1	0
tennis_event	other	1588	0	0
nascar_race_report	other	1560	0	0
newspaper	business	1555	0	0
hospital	place	1541	0	0
galaxy	other	1540	0	0
boxer	person	1511	1	0
college_football_player	person	1487	1	0
multi-sport_competition_event	other	1485	0	0
government_cabinet	pol_mil_organization	1448	1	0
rail_line	other	1403	1	0
uk_legislation	other	1397	1	0
swimmer	person	1391	1	0
bilateral_relations	other	1352	0	0
military_installation	place	1330	1	0
magazine	other	1297	0	0
politician	person	1276	1	0
software	artifact	1259	1	0
monument	other	1237	0	0
street	other	1230	1	0
website	other	1222	1	0
weapon	artifact	1221	0	0
legislative_election	event	1220	1	0
journal	other	1216	0	0
civil_conflict	event	1214	1	0
tennis_tournament_event	other	1198	0	0
scotus_case	other	1184	0	0
sport_event	other	1182	0	0
bridge	place	1180	1	0
handball_biography	person	1165	1	0
olympic_event	other	1159	0	0
uk_place	place	1153	0	0
criminal	person	1152	1	0
concert	other	1141	0	0
islands	other	1121	1	0
sailboat_specifications	artifact	1113	0	0
athletics_championships	other	1110	0	0
