id	title	locations	start_year	start_month	start_day	end_year	end_month	end_day	start_expr	end_expr	calendar	uncertainty_years	category	infobox_type	description	tags
great-pyramid-giza	Great Pyramid of Giza	[{"type":"point","lat":29.9792,"lng":31.1342}]	-2560	0	0	-2540	0	0	c. 2560 BC	c. 2540 BC	gregorian	20	place		Built as a tomb for Pharaoh Khufu; the oldest of the Seven Wonders of the Ancient World.	[]
stonehenge	Stonehenge	[{"type":"point","lat":51.1789,"lng":-1.8262}]	-3000	0	0	-1500	0	0	c. 3000 BC	c. 1500 BC	gregorian	200	place		Prehistoric megalithic structure on Salisbury Plain, England, built in several phases.	[]
indus-valley-civilization	Indus Valley Civilization	[{"type":"point","lat":27.0,"lng":68.0}]	-3300	0	0	-1300	0	0	c. 3300 BC	c. 1300 BC	gregorian	200	place		Bronze Age civilization along the Indus River; one of the world's earliest urban cultures.	[]
hammurabi-code	Code of Hammurabi	[{"type":"point","lat":32.542,"lng":44.4209}]	-1754	0	0	-1754	0	0	c. 1754 BC	c. 1754 BC	gregorian	5	event		One of the earliest complete written legal codes, issued by Babylonian king Hammurabi.	[]
trojan-war	Trojan War	[{"type":"point","lat":39.9573,"lng":26.2386}]	-1200	0	0	-1180	0	0	c. 1200 BC	c. 1180 BC	gregorian	50	event		Legendary conflict between Greeks and the city of Troy, recounted in Homer's Iliad.	[]
founding-of-rome	Founding of Rome	[{"type":"point","lat":41.8902,"lng":12.4922}]	-753	0	0	-753	0	0	753 BC	753 BC	gregorian	10	event		Traditional date of Rome's founding by Romulus, established as a kingdom on the Tiber River.	[]
buddha	Siddhartha Gautama (Buddha)	[{"type":"point","lat":27.4833,"lng":83.275}]	-563	0	0	-483	0	0	c. 563 BC	c. 483 BC	gregorian	5	person		Founder of Buddhism, born in Lumbini (modern Nepal), who taught the path to enlightenment.	[]
confucius	Confucius	[{"type":"point","lat":35.6,"lng":116.9833}]	-551	0	0	-479	0	0	551 BC	479 BC	gregorian	2	person		Chinese philosopher whose teachings on ethics and social harmony shaped East Asian civilization.	[]
battle-of-marathon	Battle of Marathon	[{"type":"point","lat":38.1583,"lng":23.9739}]	-490	0	0	-490	0	0	490 BC	490 BC	gregorian	0	event		Athenian forces repelled a Persian invasion, securing Greek independence and democracy.	[]
alexander-the-great	Alexander the Great	[{"type":"point","lat":40.6333,"lng":22.9167}]	-356	0	0	-323	0	0	356 BC	323 BC	gregorian	0	person		Macedonian king who built one of history's largest empires, from Greece to northwestern India.	[]
construction-great-wall	Great Wall of China	[{"type":"point","lat":40.4319,"lng":116.5704}]	-221	0	0	1644	0	0	221 BC	1644 CE	gregorian	0	place		Fortification system across northern China; major construction began under Emperor Qin Shi Huang.	[]
julius-caesar	Julius Caesar	[{"type":"point","lat":41.8902,"lng":12.4922}]	-100	0	0	-44	0	0	c. 100 BC	44 BC	gregorian	0	person		Roman general and statesman whose military conquests and political reforms transformed Rome.	[]
birth-of-jesus	Birth of Jesus	[{"type":"point","lat":31.7054,"lng":35.2024}]	-4	0	0	30	0	0	c. 4 BC	c. 30 CE	gregorian	2	event		Approximate birth and death years of Jesus of Nazareth, central figure of Christianity.	[]
fall-of-western-rome	Fall of Western Roman Empire	[{"type":"point","lat":41.8902,"lng":12.4922}]	476	0	0	476	0	0	476 CE	476 CE	gregorian	0	event		Romulus Augustulus, the last Roman emperor of the West, was deposed by Odoacer.	[]
muhammad	Muhammad	[{"type":"point","lat":21.3891,"lng":39.8579}]	570	0	0	632	0	0	c. 570 CE	632 CE	gregorian	2	person		Prophet and founder of Islam, born in Mecca; his teachings became the Quran.	[]
viking-age	Viking Age	[{"type":"point","lat":59.9139,"lng":10.7522}]	793	0	0	1066	0	0	793 CE	1066 CE	gregorian	0	event		Norse seafarers from Scandinavia explored, traded, and raided across Europe and beyond.	[]
battle-of-hastings	Battle of Hastings	[{"type":"point","lat":50.9097,"lng":0.4892}]	1066	10	14	1066	10	14	14 Oct 1066	14 Oct 1066	gregorian	0	event		William the Conqueror defeated King Harold II, fundamentally changing English culture and language.	[]
magna-carta	Magna Carta	[{"type":"point","lat":51.4766,"lng":-0.5597}]	1215	6	15	1215	6	15	15 Jun 1215	15 Jun 1215	gregorian	0	event		English charter limiting royal power and establishing rule of law; signed at Runnymede.	[]
black-death	Black Death	[{"type":"point","lat":43.7102,"lng":7.262}]	1347	0	0	1353	0	0	1347 CE	1353 CE	gregorian	0	event		Bubonic plague pandemic killed roughly one-third of Europe's population within six years.	[]
gutenberg-press	Gutenberg Printing Press	[{"type":"point","lat":49.9929,"lng":8.2473}]	1450	0	0	1450	0	0	c. 1450 CE	c. 1450 CE	gregorian	2	invention		Johannes Gutenberg's movable-type printing press revolutionized information dissemination in Europe.	[]
fall-of-constantinople	Fall of Constantinople	[{"type":"point","lat":41.0082,"lng":28.9784}]	1453	5	29	1453	5	29	29 May 1453	29 May 1453	gregorian	0	event		Ottoman forces under Mehmed II captured Constantinople, ending the Byzantine Empire.	[]
columbus-voyage	Columbus Reaches Americas	[{"type":"point","lat":28.0878,"lng":-15.4397}]	1492	10	12	1492	10	12	12 Oct 1492	12 Oct 1492	gregorian	0	event		Christopher Columbus landed in the Bahamas, initiating sustained contact between Europe and the Americas.	[]
leonardo-da-vinci	Leonardo da Vinci	[{"type":"point","lat":43.7849,"lng":11.248}]	1452	0	0	1519	0	0	1452 CE	1519 CE	gregorian	0	person		Italian Renaissance polymath: painter of the Mona Lisa, anatomist, engineer, and inventor.	[]
magellan-circumnavigation	Magellan's Circumnavigation	[{"type":"point","lat":37.3891,"lng":-5.9845}]	1519	0	0	1522	0	0	1519 CE	1522 CE	gregorian	0	event		Ferdinand Magellan's expedition became the first to circumnavigate the globe, departing from Seville.	[]
copernicus	Nicolaus Copernicus	[{"type":"point","lat":53.8672,"lng":20.6678}]	1473	0	0	1543	0	0	1473 CE	1543 CE	gregorian	0	person		Polish astronomer who proposed the heliocentric model of the solar system.	[]
shakespeare	William Shakespeare	[{"type":"point","lat":52.1916,"lng":-1.7083}]	1564	4	23	1616	4	23	23 Apr 1564	23 Apr 1616	gregorian	0	person		English playwright and poet; widely regarded as the greatest writer in the English language.	[]
galileo	Galileo Galilei	[{"type":"point","lat":43.7228,"lng":10.4017}]	1564	2	15	1642	1	8	15 Feb 1564	8 Jan 1642	gregorian	0	person		Italian physicist and astronomer who championed heliocentrism and pioneered scientific experimentation.	[]
isaac-newton	Isaac Newton	[{"type":"point","lat":52.8013,"lng":-0.6312}]	1643	1	4	1727	3	31	4 Jan 1643	31 Mar 1727	gregorian	0	person		English mathematician who formulated laws of motion and universal gravitation.	[]
american-revolution	American Revolution	[{"type":"point","lat":38.9072,"lng":-77.0369}]	1775	0	0	1783	0	0	1775 CE	1783 CE	gregorian	0	event		Colonial uprising against British rule that established the United States of America.	[]
french-revolution	French Revolution	[{"type":"point","lat":48.8566,"lng":2.3522}]	1789	0	0	1799	0	0	1789 CE	1799 CE	gregorian	0	event		Period of radical political transformation in France that ended the monarchy and spread republican ideals.	[]
industrial-revolution	Industrial Revolution	[{"type":"point","lat":52.4862,"lng":-1.8904}]	1760	0	0	1840	0	0	1760 CE	1840 CE	gregorian	0	event		Shift from agrarian to industrial economy in Britain, transforming manufacturing and society globally.	[]
napoleon-empire	Napoleonic Empire	[{"type":"point","lat":48.8566,"lng":2.3522}]	1804	0	0	1815	0	0	1804 CE	1815 CE	gregorian	0	event		Napoleon Bonaparte's rule reshaped Europe through military conquest and legal-political reforms.	[]
charles-darwin	Charles Darwin	[{"type":"point","lat":51.4769,"lng":-0.0005}]	1809	2	12	1882	4	19	12 Feb 1809	19 Apr 1882	gregorian	0	person		English naturalist who proposed the theory of evolution by natural selection.	[]
abolition-of-slavery-us	Abolition of Slavery (USA)	[{"type":"point","lat":38.9072,"lng":-77.0369}]	1865	12	6	1865	12	6	6 Dec 1865	6 Dec 1865	gregorian	0	event		The Thirteenth Amendment abolished slavery in the United States following the Civil War.	[]
