infobox_type	count	was_included	include_in_future
album	167658	1	0
film	164523	1	0
song	87215	1	0
television	60884	1	0
book	59140	1	0
ship/career	49235	1	0
ship/characteristics	42937	1	0
ship	41975	1	0
ship/image	41417	1	0
video_game	27671	1	0
artwork	13677	1	0
automobile	12828	0	0
aircraft	12712	1	0
software	11874	1	0
television_episode	11616	0	0
television_season	10190	0	0
weapon	7894	1	0
play	4556	1	0
ship/class_overview	4347	1	1
musical_composition	3149	1	0
comic_book_title	3127	0	0
film_awards	2976	0	0
short_story	2509	1	0
ship/service_record	2488	1	0
train	2398	0	0
mobile_phone	2107	0	0
sailboat_specifications	2048	0	0
musical	1908	0	0
opera	1726	0	0
motorcycle	1704	0	0
korean_television_name/auto	1531	0	0
information_appliance	1499	1	0
korean_film_name/auto	1420	0	0
aero_engine	1242	0	0
automobile_engine	1057	0	0
rocket/stage	988	0	0
artifact	954	1	0
camera	934	0	0
video_game_series	894	0	0
grand_prix_motorcycle_race_report	840	0	0
comic_strip	767	1	0
artefact	661	1	0
graphic_novel	601	0	0
firearm_cartridge	600	0	0
rocket/payload	558	0	0
coin	516	0	0
artwork/wikidata	507	0	0
rocket	424	0	0
computer	395	0	0
telescope	341	0	0
synthesizer	307	0	0
radar	303	0	0
painting	274	1	0
ballet	234	0	0
spacecraft_class	221	0	0
motorcycle_speedway_team	199	0	0
novel	187	0	0
banknote	186	0	0
sculpture	172	0	0
album/color	150	0	0
manhwa	150	0	0
automobile_platform	141	0	0
computer_hardware	119	0	0
novella	87	0	0
personal_computer	86	0	0
photographic_film	75	0	0
postage_stamp	73	1	0
custom_computer	66	0	0
fictional_artifact	58	0	0
television_awards	58	0	0
rocket_stage	56	0	0
national_motorcycle_speedway_team	54	0	0
spacecraft_instrument	53	0	0
korean_film_name	53	0	0
korean_television_name	50	0	0
original_english_manga	48	0	0
motorcycle_club	47	0	0
grand_prix_motorcycle_team	43	0	0
computer_hardware_bus	37	0	0
video_game_online_service	31	0	0
train_consist	25	0	0
television_crossover_episode	23	0	0
computer_hardware_generic	21	0	0
software_platform	20	0	0
camera_mount	20	0	0
song/color	19	0	0
video_game_system	17	0	0
film_director	16	0	0
video_game_engine	16	0	0
soap_opera_family	16	0	0
aircraft_crash	15	0	0
movie_camera	12	0	0
chinese_opera_genre	12	0	0
television_advert	10	0	0
comic_book	9	0	0
smartphone	9	0	0
video_game_character	7	0	0
aircraft_flight	7	0	0
musical_instrument	7	0	0
soap_opera_family/member	7	0	0
animanga/manga	5	0	0
automobile_generation	5	0	0
aircraft_incident	4	0	0
fictional_spacecraft	2	0	0
ship_image	2	0	0
ship_career	2	0	0
ship_characteristics	2	0	0
vessel	2	0	0
