infobox_type	count	was_included	include_in_future
company	78513	1	0
newspaper	10067	1	0
airline	4581	0	0
restaurant	4359	1	0
record_label	3836	1	0
publisher	2460	1	0
hotel	1615	1	0
casino	631	1	1
law_firm	566	0	0
brewery	454	0	0
winery	429	0	0
bus_company	370	1	0
dot-com_company	314	0	0
ballet_company	145	0	0
rail_company	95	0	0
livery_company	68	0	0
ambulance_company	37	0	0
brewery/beerdata	33	0	0
performing_arts_company	26	0	0
airline_alliance	14	0	0
dance_company	13	0	0
defunct_company	4	0	0
corporation	4	0	0
theatre_company	3	0	0
