infobox_type	count	was_included	include_in_future
language	9756	1	0
music_genre	1354	1	0
christian_denomination	1348	1	0
language_family	1331	1	0
programming_language	768	0	0
file_format	704	0	0
writing_system	585	0	0
religious_group	441	1	0
religion	379	1	0
martial_art	371	0	0
art_movement	269	0	0
proto-language	184	0	0
networking_protocol	109	0	0
algorithm	101	0	0
cultural_movement	32	0	0
encryption_method	31	0	0
cryptographic_hash_function	26	0	0
language/family-color	18	0	0
technology	9	0	0
christian_branch	8	0	0
language/ref	6	1	1
language_game	3	0	0
invention	3	1	1
