infobox_type	count	was_included	include_in_future
election	50794	1	0
military_conflict	23913	1	1
civilian_attack	6288	1	0
event	5030	1	0
hurricane_small	4714	0	0
tropical_cyclone_small	3842	0	0
weather_event	3140	0	0
weather_event/footer	3138	0	0
weather_event/effects	3124	0	0
legislative_election	3040	0	0
civil_conflict	2632	1	0
aircraft_occurrence	2170	1	0
referendum	1893	1	0
earthquake	1425	0	0
weather_event/jtwc	963	0	0
wildfire	932	0	0
public_transit_accident	874	0	0
weather_event/nws	852	0	0
historical_event	793	1	1
terrorist_attack	656	1	0
news_event	654	1	0
weather_event/tornado	641	0	0
weather_event/jma	623	0	0
pandemic	521	0	0
summit_meeting	474	0	0
election_campaign	408	1	1
flood	358	1	0
hurricane_season	352	0	0
military_operation	335	1	0
tropical_cyclone_season	308	0	0
war_on_terror_detainee	306	1	0
weather_event/tornado_outbreak	301	0	0
windstorm_small	296	0	0
storm	231	0	0
leadership_election	204	0	0
aircraft_accident	185	1	0
nuclear_weapons_test	171	0	0
winter_storm_small	169	0	0
weather_event/history	148	0	0
outbreak	139	1	0
battle	133	1	1
weather_event/imd	118	0	0
holocaust_event	117	0	0
eruption	91	0	0
tornado_year	84	0	0
weather_event/fms	81	0	0
weather_event/winter_storm	79	0	0
weather_event/bom	77	0	0
weather_event/storm	75	0	0
multichoice_referendum	71	1	1
weather_event/extratropical	69	0	0
disaster	63	0	0
oil_spill	60	1	0
weather_event/blizzard	60	0	0
famine	59	0	0
weather_event/mfr	49	0	0
winter_storm	48	0	0
military_attack	42	1	0
protest	39	0	0
weather_event/sshws	31	0	0
weather_event/mf	28	0	0
weather_event/tornado_family	20	0	0
weather_event/aus	19	0	0
rail_accident	18	0	0
war	17	1	1
windstorm_season	13	0	0
epidemic	12	0	0
weather_event/metservice	12	0	0
canadian_leadership_election	11	0	0
united_nations_security_council_election_even	10	0	0
solar_storm	10	0	0
united_nations_security_council_election_odd	10	0	0
weather_event/npmoc	10	0	0
disease_outbreak	10	0	0
hurricane_season_full	8	0	0
weather_event/scale	6	0	0
local_tornado_season	5	0	0
iranian_election_campaign	4	0	0
plane_crash	4	0	0
weather_event/cma	3	0	0
weather_event/meteorology	3	0	0
cyberattack	3	0	0
coup_d'état	3	0	0
assassination	3	0	0
weather_event/nchmf	2	0	0
