infobox_type	count	was_included	include_in_future
football_club	27448	1	0
football_league_season	24296	0	0
football_club_season	22769	0	0
name_module	17876	1	0
chinese	17706	1	0
sports_competition_event	13460	0	0
award	13082	1	0
korean_name/auto	12987	1	0
ncaa_team_season	10642	0	0
journal	9950	1	0
animanga/print	9925	0	0
uk_legislation	9900	1	0
football_tournament_season	8991	0	0
islands	8947	1	0
character	8423	1	0
olympic_event	7871	1	0
magazine	7867	1	0
rail_line	7745	1	0
animanga/video	7706	0	0
animanga/header	7555	0	0
animanga/footer	7549	0	0
ethnic_group	7349	1	0
soap_character	6835	1	0
sports_season	6677	0	0
official_post	6636	1	0
football_match	6524	0	0
medical_condition_(new)	6523	1	0
television_channel	6457	0	0
rockunit	6425	0	0
website	6423	1	0
international_football_competition	6258	0	0
racehorse	5636	0	0
sports_league	5324	0	0
locomotive	5024	0	0
tennis_tournament_event	5013	0	0
enzyme	4958	0	0
mma_event	4929	0	0
food	4926	0	0
cycling_race_report	4902	0	0
drug	4869	0	0
planet	4615	0	0
bilateral_relations	4565	1	0
given_name	4483	0	0
scotus_case	4434	0	0
street	4433	1	0
recurring_event	4361	1	0
reality_competition_season	4162	0	0
court_case	4111	1	0
diocese	4060	1	0
spaceflight	3949	0	0
comics_character	3762	0	0
wrestling_event	3731	0	0
concert	3695	0	0
coa_wide	3546	1	0
comics_creator	3522	1	0
paralympic_event	3355	0	0
baseball_team_season	3294	0	0
tennis_event	3247	0	0
rail_service	3247	0	0
galaxy	3227	0	0
romanian_subdivision	3164	0	0
basketball_club	3146	1	0
chinese/chinese	3103	1	0
designation_list	3031	1	0
slovak_place	3015	0	0
u.s._county	2970	1	0
greek_dimos	2964	0	0
pan_american_games_event	2880	0	0
rail	2807	1	0
curler	2802	1	0
political_post	2789	1	0
football_league	2749	0	0
cricket_tournament	2733	0	0
sport_event	2710	0	0
multi-sport_competition_event	2692	0	0
monument	2652	1	0
athletics_championships	2644	0	0
horseraces	2635	0	0
medical_condition	2631	0	0
canada_electoral_district	2631	0	0
rugby_team	2624	0	0
legislation	2568	1	0
hurling_championship	2557	0	0
prepared_food	2444	0	0
nascar_race_report	2440	0	0
nfl_team_season	2333	0	0
un_resolution	2293	1	0
legislative_district	2289	0	0
military_structure	2158	1	0
french_subdivision	2144	0	0
football_tournament	2105	0	0
deity	2090	1	0
holiday	2089	1	0
grand_prix_race_report	2084	0	0
radio_show	2074	1	0
korean_name	2073	1	0
brand	2061	1	0
game	2049	1	0
surname	2036	1	0
games	2036	0	0
ncaa_basketball_conference_tournament	2032	0	0
speed_skater	2028	1	0
ice_hockey_team_season	2019	0	0
sssi	2015	1	0
protein_family	1955	0	0
nobility	1955	1	0
mineral	1926	0	0
bishopstyles	1906	1	0
minor_league_baseball	1868	0	0
song_contest_national_year	1866	0	0
music_festival	1839	1	0
sport_governing_body	1776	0	0
portuguese_subdivision	1765	1	0
curling	1763	0	0
golf_tournament	1760	0	0
national_football_team	1711	1	0
commonwealth_games_event	1704	0	0
sports_team	1687	0	0
union	1663	0	0
military_award	1656	1	0
film_festival	1643	0	0
anatomy	1641	0	0
cultivar	1621	0	0
badminton_event	1588	0	0
treaty	1563	1	0
ice_hockey_team	1563	0	0
lunar_crater	1554	0	0
bus_transit	1550	1	0
worldscouting	1548	0	0
beauty_pageant	1536	0	0
nfl_season	1530	0	0
cycling_race	1497	0	0
cricket_tour	1490	0	0
earthquakes_in_month	1443	0	0
public_transit	1425	1	0
u.s._legislation	1386	0	0
family	1384	1	0
australian_electorate	1377	0	0
field_hockey	1376	0	0
cricket_team	1375	0	0
rugby_union_season	1373	0	0
gaa_club	1364	0	0
individual_golf_tournament	1360	0	0
tennis_tournament	1358	0	0
sports_rivalry	1326	0	0
basketball_league_season	1326	0	0
flag	1309	1	0
japanese	1309	1	0
individual_snooker_tournament	1303	0	0
horseracing_personality	1299	1	0
gene	1276	0	0
legislative_term	1269	0	0
color	1264	1	0
ncaa_football_yearly_game	1252	0	0
awards_list	1244	1	0
national_basketball_team	1219	0	0
fivb_tournament	1214	0	0
book_series	1213	1	0
protein	1201	0	0
hiking_trail	1201	1	0
rfam	1188	0	0
golf_season	1183	0	0
racing_car	1176	1	0
football_official	1167	1	0
cricket_ground	1145	1	0
swimming_event	1141	0	0
institute	1096	1	0
judo_competition_event	1087	0	0
alpine_ski_racer	1070	0	0
malaysia_electoral_district	1049	0	0
instrument	1041	0	0
name	1039	0	0
diagnostic	1038	0	0
mp	1035	1	0
coat_of_arms	1017	1	0
medical_intervention	1007	0	0
beverage	1005	0	0
international_handball_competition	1003	0	0
nba_season	1002	0	0
southeast_asian_games_event	996	0	0
sports_award	994	0	0
pro_wrestling_championship	993	0	0
fraternity	992	0	0
place_symbols	988	1	0
animanga/other	984	0	0
animanga/game	971	0	0
ecoregion	969	0	0
nobility_title	967	1	0
boxing_match	963	0	0
sport_tournament	962	1	0
ncaa_baseball_conference_tournament	962	0	0
international_hockey_competition	955	0	0
baseball_team	953	0	0
cycling_team	951	1	0
frazione	950	1	0
os	949	0	0
animal	936	1	0
golf_facility	927	1	0
athletics_race	926	1	0
historic_subdivision	925	1	0
feature_on_celestial_object	922	0	0
table_tennis_player	922	1	0
convention	904	0	0
fiba_tourney	899	0	0
handball_club	897	0	0
roller_coaster	887	0	0
ski_area	882	1	0
horse_race	877	0	0
order	856	0	0
song_contest_entry	835	0	0
rugby_league_team_season	830	0	0
kommune	820	1	0
broadcasting_network	809	0	0
australian_football_club	801	1	0
rpg	798	0	0
simpsons_episode	798	0	0
podcast	796	1	0
sports_draft	792	0	0
australian_rules_football_season	787	0	0
hockey_team	783	0	0
high_court	781	0	0
anthem	777	0	0
given_name_revised	771	0	0
rugby_league_club	770	1	0
poker_player	769	1	0
motorsport_championship	768	1	0
bus_line	764	0	0
professional_wrestling_event	762	0	0
theatre	760	0	0
tournament	725	0	0
attraction	714	1	0
orchestra	713	0	0
individual_darts_tournament	708	0	0
international_ice_hockey_competition	707	0	0
champ_car_driver	690	1	0
u.s._congressional_district	688	0	0
media_franchise	681	1	0
motor_race	680	0	0
russian_rural_locality	677	0	0
vg	663	0	0
observatory	656	1	0
gaa_championship	649	0	0
cycling_championship	648	0	0
drink	629	1	0
new_zealand_suburb	625	0	0
fashion_designer	613	1	0
poem	611	0	0
military_memorial	606	1	0
spaceflight/dock	601	0	0
wrestling_team	600	0	0
