infobox_type	count	was_included	include_in_future
person	368363	1	1
officeholder	254419	1	1
football_biography	213165	1	0
musical_artist	117005	1	0
sportsperson	94737	1	0
scientist	52081	1	1
military_person	49497	1	1
writer	41119	1	1
cricketer	31591	1	0
artist	29483	1	1
baseball_biography	27860	1	1
nfl_biography	27650	1	0
royalty	22467	1	1
basketball_biography	22321	1	0
christian_leader	20225	1	0
ice_hockey_player	18419	1	0
rugby_biography	18159	1	1
academic	17840	1	0
cyclist	16492	1	0
afl_biography	14436	1	0
college_coach	12683	1	0
tennis_biography	10763	1	1
swimmer	10685	1	0
rugby_league_biography	10633	1	0
boxer	6298	1	1
artist_discography	6162	1	0
gymnast	5781	1	0
martial_artist	5743	1	0
racing_driver	5667	1	0
handball_biography	5437	1	0
noble	5361	1	0
saint	5256	1	0
criminal	5209	1	1
religious_biography	4841	1	0
golfer	4733	1	1
person/wikidata	4509	1	0
professional_wrestler	4397	1	0
volleyball_biography	4232	1	0
architect	4086	1	0
figure_skater	3922	1	0
chess_player	3708	1	0
politician	3531	1	0
philosopher	3406	1	1
gridiron_football_biography	3392	1	1
gaelic_games_player	3330	1	1
badminton_player	3308	1	0
pageant_titleholder	2908	1	0
college_football_player	2753	1	1
judoka	2753	1	0
field_hockey_player	2511	1	0
judge	2488	1	0
skier	2406	1	0
nascar_driver	2243	1	1
medical_person	2143	1	0
model	2113	1	0
ice_hockey_biography	1930	1	0
comedian	1922	1	0
serial_killer	1916	1	0
economist	1897	1	0
sailor	1885	1	1
social_media_personality	1640	1	0
musician_awards/customs	1635	0	0
speedway_rider	1610	0	0
cfl_biography	1520	1	0
volleyball_player	1520	1	0
monarch	1497	1	0
motorcycle_rider	1490	1	0
clergy	1422	1	1
athlete	1405	1	0
gridiron_football_person	1380	1	1
gaa_player	1316	1	0
npb_player	1124	1	0
figure_skating_competition	1091	0	0
chef	1053	1	0
engineer	1016	1	0
scholar	1010	1	0
playboy_playmate	987	1	1
jewish_leader	976	1	0
youtuber	910	1	0
police_officer	900	1	0
squash_player	900	1	0
f1_driver	899	1	1
canadian_football_league_biography	888	1	1
chess_biography	885	1	1
actor	885	1	1
dancer	833	1	0
astronaut	823	1	0
criminal_organization	774	1	0
darts_player	763	0	0
snooker_player	743	1	0
presenter	737	1	0
rugby_union_biography	734	1	0
fencer	701	1	0
nfl_player	682	1	0
netball_biography	645	1	0
sumo_wrestler	638	1	0
cfl_player	637	1	0
mlb_player	632	0	0
boxer_(amateur)	628	1	0
governor	619	1	0
indian_politician	612	1	0
gaelic_athletic_association_player	595	1	0
author	578	1	0
mayor	561	1	0
president	545	1	1
classical_composer	535	1	0
noble_house	520	1	0
ambassador	510	1	0
lacrosse_player	501	0	0
climber	498	1	0
bishop_styles	495	1	0
latter_day_saint_biography	468	1	0
hindu_leader	464	1	0
water_polo_biography	434	1	0
doctor_who_episode	432	0	0
pharaoh	417	1	0
biathlete	414	1	0
adult_biography	401	1	0
prime_minister	378	1	0
bodybuilder	341	1	1
minister	331	1	0
aviator	324	1	0
amateur_wrestler	317	1	0
spy	308	1	0
musician_awards	306	1	0
theologian	304	1	0
journalist	295	1	0
guitar_model	277	1	0
go_player	262	1	0
pirate	258	0	0
pool_player	257	0	0
murderer	250	1	0
bishop	244	1	0
surfer	232	1	0
soldier	230	1	1
equestrian	220	1	1
poet	218	1	0
historian	218	1	0
nba_biography	216	1	0
biography	207	1	1
politician_(general)	206	1	0
pro_gaming_player	206	1	0
patriarch	195	1	0
gaelic_games_biography	193	1	0
video_game_player	192	1	1
sport_wrestler	189	1	0
scientist/wikidata	179	1	0
officeholder/office	175	1	1
streamer	168	1	0
artist_list	151	0	0
lds_biography	134	1	1
rebbe	127	0	0
actress	127	1	0
actor_awards	117	1	1
academic_conference	109	0	0
bandy_biography	107	1	0
mass_murderer	89	1	1
composer	88	1	0
mathematical_statement	76	0	0
pharaoh/serekh	68	1	1
mathematician	68	1	0
k-pop_artist_awards/customs	68	0	0
