infobox_type	count	was_included	include_in_future
settlement	462363	1	1
nrhp	73653	1	0
station	56929	1	0
school	38461	1	0
french_commune	37558	0	0
college_sports_team_season	35960	0	0
river	31278	1	0
mountain	28773	1	0
building	28342	1	0
uk_place	26666	1	0
university	24541	1	0
road	24475	1	0
radio_station	21436	0	0
turkey_place	20029	1	0
church	16697	1	0
road_small	16584	1	0
protected_area	15287	1	0
venue	15068	1	0
body_of_water	14995	1	0
australian_place	14520	1	0
airport	13556	1	0
historic_site	13512	1	0
museum	11456	1	0
german_location	11139	0	0
religious_building	10899	1	0
park	9467	1	0
military_installation	8243	1	0
italian_comune	8026	1	0
hospital	6733	1	0
bridge	6471	1	0
ancient_site	6354	1	1
school_district	6313	1	0
dam	5847	1	0
lake	3860	1	0
shopping_mall	3626	1	0
stadium	3437	0	0
power_station	3277	1	0
russian_inhabited_locality	3177	0	0
television_station	3175	0	0
swiss_town	2846	0	0
lighthouse	2784	1	0
german_place	2603	1	0
library	2273	1	0
mine	2121	1	0
russian_district	2067	1	0
unesco_world_heritage_site	2043	1	0
cemetery	2021	0	0
historic_building	1850	1	0
prison	1817	1	0
hindu_temple	1654	1	0
landform	1584	1	0
glacier	1569	0	0
waterfall	1472	1	0
mountain_pass	1443	1	0
zoo	1330	0	0
monastery	1282	1	0
tunnel	1070	0	0
settlement_al	1041	0	0
university_rankings	1038	0	0
amusement_park	1009	1	0
port	999	1	0
college_football_game	995	0	0
valley	963	1	0
australian_road	933	0	0
cave	912	0	0
motorsport_venue	886	0	0
london_station	847	0	0
college_athletics	795	0	0
canal	731	1	0
temple	701	0	0
wine_region	676	0	0
israel_village	618	1	0
us_university_ranking	599	1	0
belgium_municipality	583	0	0
mountain_range	555	1	0
russian_urban-type_settlement	552	0	0
college_basketball_tournament	545	0	0
college	543	0	0
settlement/wikidata	523	0	0
road/shieldmain/usa	521	1	0
india_university_ranking	501	0	0
archaeological_culture	490	1	0
new_york_city_subway_station/ridership	448	0	0
new_york_city_subway_station/ridership/rank	446	0	0
college_basketball_team	440	0	0
scottish_island	407	0	0
residential_college	400	0	0
station/header_korail	376	0	0
college_football_team	371	0	0
station/header_sms	369	0	0
college_baseball_team	339	0	0
road/browselinks/usa	313	0	0
road_junction	308	1	0
college_soccer_team	308	0	0
tibetan_buddhist_monastery	297	0	0
island	294	1	1
law_school	291	0	0
ncaa_football_school	283	0	0
station/header_gr	260	0	0
college_ice_hockey_team	247	0	0
cape_verde_settlement	239	0	0
station/header_cta	237	0	0
terrestrial_impact_site	198	1	0
port-of-entry	188	0	0
university_boat_race	184	0	0
college_football_season	181	0	0
russian_town	177	0	0
high_school_student_assessments_in_michigan	167	0	0
water_park	161	0	0
castle	157	1	0
college_softball_team	152	0	0
uk_university_rankings	148	0	0
museum/wikidata	147	0	0
college_football_bowl_game	138	0	0
college_marching_band	134	0	0
mill_building	132	0	0
school_athletics	131	0	0
college_track_and_field_team	115	0	0
archaeological_site	113	1	1
military_cemetery	111	0	0
television_station_dual	108	0	0
college_lacrosse_team	108	0	0
business_school_rankings	106	0	0
radio_station_dual	105	0	0
u.s._college_admissions	103	0	0
gold_mine	102	0	0
college_volleyball_team	98	0	0
college_lacrosse_championship	97	0	0
college_mascot	96	0	0
mosque	91	0	0
road_list	90	0	0
catalan_city_demography	87	1	1
mma_event_(road_fc)	78	0	0
site_of_special_scientific_interest	74	0	0
national_beach_handball_team	73	0	0
germany_university_rankings	70	0	0
business_park	70	0	0
college_softball_season	62	0	0
albanian_settlement	60	0	0
station/ni_railways	58	0	0
martial_art_school	54	1	0
college_football_bowl_games	54	0	0
college_ice_hockey_season	53	0	0
australian_university_ranking	51	0	0
stadium/tenantlist	51	0	0
bay	50	0	0
chinese_university_ranking	45	0	0
space_station	42	0	0
college_tennis_team	42	0	0
village	40	0	0
space_station_module	36	0	0
japanese_university_ranking	35	0	0
