infobox_type	count	was_included	include_in_future
organization	33973	1	0
military_unit	27735	1	0
country_at_games	16909	0	0
political_party	14264	1	1
government_agency	11974	1	0
constituency	7046	1	0
indian_constituency	5722	1	0
legislature	3978	1	0
political_party/seats	3798	1	0
country	3515	1	1
government_cabinet	3315	1	0
former_subdivision	2683	1	0
law_enforcement_agency	2045	1	0
football_country_season	1388	0	0
former_country	1378	1	0
uk_constituency_main	1300	1	0
war_faction	1161	1	0
diplomatic_mission	1120	0	0
uk_constituency	939	1	0
organisation	936	1	0
militant_organization	847	1	0
french_constituency	590	0	0
indian_political_party	554	1	0
political_youth_organization	424	1	0
comics_organization	384	0	0
first_nation	362	1	0
tribe	358	1	0
national_military	318	0	0
ghana_constituency	311	0	0
government_budget	298	0	0
clan	260	0	0
russian_constituency	256	0	0
nhs_organisation	241	0	0
organization/wikidata	219	0	0
geopolitical_organization	214	0	0
european_parliament_constituency	207	0	0
new_york_legislature	204	0	0
law_enforcement_unit	199	0	0
executive_government	188	0	0
country_telephone_plan	184	0	0
japanese_clan	176	0	0
sporting_event_organization	170	0	0
canadian_parliament	162	0	0
international_labour_organization_convention	149	0	0
united_nations	140	0	0
parliament	126	1	0
song_contest_country	126	0	0
california_state_legislature_district	120	0	0
government	117	0	0
cross_country_championships	92	0	0
country_geography	81	0	0
royal_house	81	0	0
time_zone_country	76	0	0
maryland_state_legislature_district	74	0	0
united_nations_membership	66	0	0
lds_in_country	66	0	0
indonesian_political_party	64	0	0
law_enforcement_operation	59	0	0
union_by_country	58	0	0
geopolitical_organisation	57	0	0
arizona_legislature	57	0	0
philippine_political_party	56	0	0
nepalese_political_party	55	1	0
moscow_city_duma_constituency	45	0	0
fictional_organisation	42	0	0
country_languages	40	1	0
new_jersey_state_legislature_district	40	0	0
european_parliament_group	39	0	0
education_in_country	38	0	0
tunisian_political_party	38	0	0
presidential_government	31	0	0
arizona_state_legislature_district	30	0	0
college_cross_country_team	29	0	0
australian_government	27	0	0
country_solar_power	26	0	0
arizona_territorial_legislature	25	0	0
icelandic_political_party	23	0	0
political_youth_organisation	22	0	0
australian_political_party	20	0	0
hawaii_territorial_legislature	16	0	0
animation_list_by_country	14	0	0
london_assembly_constituency	14	0	0
indian_state_legislative_assembly_constituency	13	0	0
australian_members_of_parliament_lists	12	0	0
nigeria_federal_constituency	12	0	0
european_political_party	10	0	0
soccer_country_season	10	0	0
swiss_political_party	9	0	0
new_zealand_political_party	9	0	0
political_organization	9	0	0
country_demographics	8	0	0
new_caledonian_political_party	8	0	0
fictional_organization	7	0	0
former_international_organization	5	0	0
nuclear_weapons_by_country	5	0	0
international_organization	5	0	0
pakistani_province_government	5	0	0
uk_country	4	0	0
government_department	4	0	0
european_parliament	4	0	0
singapore_parliament	4	0	0
country_animal_welfare	4	0	0
basketball_country_season	4	0	0
year_in_country	3	0	0
communist_government	3	0	0
spaceflight_by_country	3	0	0
country_deforestation	3	0	0
member_of_parliament	3	0	0
country_dance	3	0	0
cricket_country_season	3	0	0
space_program_by_country	2	0	0
law_enforcement_operations	2	0	0
lok_sabha_constituency	2	0	0
greek_constituency	2	0	0
government_agency_	2	0	0
european_parliament_term	2	0	0
