infobox_type	proposed_category	count	was_included	include_in_future
settlement	place	462363	1	1
person	person	368363	1	1
officeholder	person	254419	1	1
football_biography	person	213165	1	0
album	artifact	167658	1	0
film	artifact	164523	1	0
musical_artist	person	117005	1	0
sportsperson	person	94737	1	0
song	artifact	87215	1	0
company	business	78513	1	0
nrhp	place	73653	1	0
television	artifact	60884	1	0
book	artifact	59140	1	0
station	place	56929	1	0
scientist	person	52081	1	1
election	event	50794	1	0
military_person	person	49497	1	1
ship/career	artifact	49235	1	1
ship/characteristics	artifact	42937	1	1
ship	artifact	41975	1	1
ship/image	artifact	41417	1	1
writer	person	41119	1	1
school	place	38461	1	0
french_commune	place	37558	0	0
college_sports_team_season	place	35960	0	0
organization	pol_mil_organization	33973	1	0
cricketer	person	31591	1	0
river	place	31278	1	0
artist	person	29483	1	1
mountain	place	28773	1	0
building	place	28342	1	0
baseball_biography	person	27860	1	1
military_unit	pol_mil_organization	27735	1	0
video_game	artifact	27671	1	0
nfl_biography	person	27650	1	0
football_club	other	27448	1	0
uk_place	place	26666	1	0
university	place	24541	1	0
road	place	24475	1	0
football_league_season	other	24296	0	0
military_conflict	event	23913	1	1
football_club_season	other	22769	0	0
royalty	person	22467	1	1
basketball_biography	person	22321	1	0
radio_station	place	21436	0	0
christian_leader	person	20225	1	0
turkey_place	place	20029	1	0
ice_hockey_player	person	18419	1	0
rugby_biography	person	18159	1	1
name_module	other	17876	1	0
academic	person	17840	1	0
chinese	other	17706	1	0
country_at_games	pol_mil_organization	16909	0	0
church	place	16697	1	0
road_small	place	16584	1	0
cyclist	person	16492	1	0
protected_area	place	15287	1	0
venue	place	15068	1	0
body_of_water	place	14995	1	0
australian_place	place	14520	1	0
afl_biography	person	14436	1	0
political_party	pol_mil_organization	14264	1	1
artwork	artifact	13677	1	0
airport	place	13556	1	0
historic_site	place	13512	1	0
sports_competition_event	other	13460	0	0
award	other	13082	1	0
korean_name/auto	other	12987	1	0
automobile	artifact	12828	0	0
aircraft	artifact	12712	1	0
college_coach	person	12683	1	0
government_agency	pol_mil_organization	11974	1	0
software	artifact	11874	1	0
television_episode	artifact	11616	0	0
museum	place	11456	1	0
german_location	place	11139	0	0
religious_building	place	10899	1	0
tennis_biography	person	10763	1	1
swimmer	person	10685	1	0
ncaa_team_season	other	10642	0	0
rugby_league_biography	person	10633	1	0
television_season	artifact	10190	0	0
newspaper	business	10067	1	0
journal	other	9950	1	0
animanga/print	other	9925	0	0
uk_legislation	other	9900	1	0
language	concepts	9756	1	0
park	place	9467	1	0
football_tournament_season	other	8991	0	0
islands	other	8947	1	0
character	other	8423	1	0
military_installation	place	8243	1	0
italian_comune	place	8026	1	0
weapon	artifact	7894	1	0
olympic_event	other	7871	1	0
magazine	other	7867	1	0
rail_line	other	7745	1	0
animanga/video	other	7706	0	0
animanga/header	other	7555	0	0
animanga/footer	other	7549	0	0
ethnic_group	other	7349	1	0
constituency	pol_mil_organization	7046	1	0
soap_character	other	6835	1	0
hospital	place	6733	1	0
sports_season	other	6677	0	0
official_post	other	6636	1	0
football_match	other	6524	0	0
medical_condition_(new)	other	6523	1	0
bridge	place	6471	1	0
television_channel	other	6457	0	0
rockunit	other	6425	0	0
website	other	6423	1	0
ancient_site	place	6354	1	1
school_district	place	6313	1	0
boxer	person	6298	1	1
civilian_attack	event	6288	1	0
international_football_competition	other	6258	0	0
artist_discography	person	6162	1	0
dam	place	5847	1	0
gymnast	person	5781	1	0
martial_artist	person	5743	1	0
indian_constituency	pol_mil_organization	5722	1	0
racing_driver	person	5667	1	0
racehorse	other	5636	0	0
handball_biography	person	5437	1	0
noble	person	5361	1	0
sports_league	other	5324	0	0
saint	person	5256	1	0
criminal	person	5209	1	1
event	event	5030	1	0
locomotive	other	5024	0	0
tennis_tournament_event	other	5013	0	0
enzyme	other	4958	0	0
mma_event	other	4929	0	0
food	other	4926	0	0
cycling_race_report	other	4902	0	0
drug	other	4869	0	0
religious_biography	person	4841	1	0
golfer	person	4733	1	1
hurricane_small	event	4714	0	0
planet	other	4615	0	0
airline	business	4581	0	0
bilateral_relations	other	4565	1	0
play	artifact	4556	1	0
person/wikidata	person	4509	1	0
given_name	other	4483	0	0
scotus_case	other	4434	0	0
street	other	4433	1	0
professional_wrestler	person	4397	1	0
recurring_event	other	4361	1	0
restaurant	business	4359	1	0
ship/class_overview	artifact	4347	1	1
volleyball_biography	person	4232	1	0
reality_competition_season	other	4162	0	0
court_case	other	4111	1	0
architect	person	4086	1	0
diocese	other	4060	1	0
legislature	pol_mil_organization	3978	1	0
spaceflight	other	3949	0	0
figure_skater	person	3922	1	0
lake	place	3860	1	0
tropical_cyclone_small	event	3842	0	0
record_label	business	3836	1	0
political_party/seats	pol_mil_organization	3798	1	0
comics_character	other	3762	0	0
wrestling_event	other	3731	0	0
chess_player	person	3708	1	0
concert	other	3695	0	0
shopping_mall	place	3626	1	0
coa_wide	other	3546	1	1
politician	person	3531	1	0
comics_creator	other	3522	1	0
country	pol_mil_organization	3515	1	1
stadium	place	3437	0	0
philosopher	person	3406	1	1
gridiron_football_biography	person	3392	1	1
paralympic_event	other	3355	0	0
gaelic_games_player	person	3330	1	1
government_cabinet	pol_mil_organization	3315	1	0
badminton_player	person	3308	1	0
baseball_team_season	other	3294	0	0
power_station	place	3277	1	0
tennis_event	other	3247	0	0
rail_service	other	3247	0	0
galaxy	other	3227	0	0
russian_inhabited_locality	place	3177	0	0
television_station	place	3175	0	0
romanian_subdivision	other	3164	0	0
musical_composition	artifact	3149	1	0
basketball_club	other	3146	1	0
weather_event	event	3140	0	0
weather_event/footer	event	3138	0	0
comic_book_title	artifact	3127	0	0
weather_event/effects	event	3124	0	0
chinese/chinese	other	3103	1	0
legislative_election	event	3040	0	0
designation_list	other	3031	1	0
slovak_place	other	3015	0	0
film_awards	artifact	2976	0	0
u.s._county	other	2970	1	0
greek_dimos	other	2964	0	0
pageant_titleholder	person	2908	1	0
pan_american_games_event	other	2880	0	0
swiss_town	place	2846	0	0
rail	other	2807	1	0
curler	other	2802	1	0
political_post	other	2789	1	0
lighthouse	place	2784	1	0
college_football_player	person	2753	1	1
judoka	person	2753	1	0
football_league	other	2749	0	0
cricket_tournament	other	2733	0	0
sport_event	other	2710	0	0
